lon,lat,population
74.15416565005002,31.645833542749997,1497.8209
74.16249898335002,31.645833542749997,1679.0023
74.17083231665002,31.645833542749997,5379.788
74.17916564995002,31.645833542749997,9482.114
74.18749898325002,31.645833542749997,8372.764
74.19583231655002,31.645833542749997,3489.5562
74.20416564985003,31.645833542749997,6508.389
74.21249898315003,31.645833542749997,893.76404
74.22083231645003,31.645833542749997,771.0319
74.22916564975003,31.645833542749997,406.68774
74.23749898305003,31.645833542749997,593.99005
74.24583231635002,31.645833542749997,182.9402
74.25416564965002,31.645833542749997,206.68611
74.26249898295002,31.645833542749997,594.7347
74.27083231625002,31.645833542749997,6610.414
74.27916564955002,31.645833542749997,27625.137
74.28749898285002,31.645833542749997,24597.646
74.29583231615003,31.645833542749997,15980.3125
74.30416564945003,31.645833542749997,3761.933
74.31249898275003,31.645833542749997,25.232597
74.32083231605003,31.645833542749997,19.632067
74.32916564935003,31.645833542749997,44.997665
74.33749898265002,31.645833542749997,98.735985
74.34583231595002,31.645833542749997,0.3236119
74.35416564925002,31.645833542749997,16.983004
74.36249898255002,31.645833542749997,173.19672
74.37083231585002,31.645833542749997,632.8972
74.37916564915002,31.645833542749997,1377.0214
74.38749898245003,31.645833542749997,130.69743
74.39583231575003,31.645833542749997,372.49942
74.40416564905003,31.645833542749997,553.34705
74.41249898235003,31.645833542749997,543.92163
74.42083231565003,31.645833542749997,474.21295
74.42916564895002,31.645833542749997,197.61339
74.43749898225002,31.645833542749997,239.85587
74.44583231555002,31.645833542749997,680.97284
74.45416564885002,31.645833542749997,276.85764
74.46249898215002,31.645833542749997,6303.4185
74.47083231545002,31.645833542749997,2172.3877
74.47916564875003,31.645833542749997,2177.2136
74.48749898205003,31.645833542749997,644.8705
74.49583231535003,31.645833542749997,231.4743
74.50416564865003,31.645833542749997,273.25845
74.51249898195003,31.645833542749997,163.76556
74.52083231525002,31.645833542749997,140.85919
74.52916564855002,31.645833542749997,35.83948
74.53749898185002,31.645833542749997,145.20601
74.54583231515002,31.645833542749997,54.899975
74.15416565005002,31.63750020945,2574.9968
74.16249898335002,31.63750020945,1792.2208
74.17083231665002,31.63750020945,1175.8037
74.17916564995002,31.63750020945,4834.3677
74.18749898325002,31.63750020945,11466.547
74.19583231655002,31.63750020945,8518.259
74.20416564985003,31.63750020945,9358.098
74.21249898315003,31.63750020945,9702.606
74.22083231645003,31.63750020945,5278.5454
74.22916564975003,31.63750020945,8540.042
74.23749898305003,31.63750020945,4927.743
74.24583231635002,31.63750020945,525.12354
74.25416564965002,31.63750020945,921.33
74.26249898295002,31.63750020945,4863.3193
