lon,lat,population
74.15416565005002,31.64583354275,1279.2865
74.16249898335002,31.64583354275,1426.52
74.17083231665002,31.64583354275,4847.9062
74.17916564995002,31.64583354275,8633.78
74.18749898325002,31.64583354275,7628.8013
74.19583231655002,31.64583354275,3009.6372
74.20416564985003,31.64583354275,5852.1494
74.21249898315003,31.64583354275,694.4179
74.22083231645003,31.64583354275,577.24976
74.22916564975003,31.64583354275,317.98682
74.23749898305003,31.64583354275,465.86063
74.24583231635002,31.64583354275,137.68138
74.25416564965002,31.64583354275,149.25858
74.26249898295002,31.64583354275,473.38092
74.27083231625002,31.64583354275,5799.299
74.27916564955002,31.64583354275,24894.088
74.28749898285002,31.64583354275,22346.703
74.29583231615003,31.64583354275,14023.064
74.30416564945003,31.64583354275,3098.0557
74.31249898275003,31.64583354275,20.834692
74.32083231605003,31.64583354275,18.98707
74.32916564935003,31.64583354275,41.39389
74.33749898265002,31.64583354275,63.627644
74.34583231595002,31.64583354275,0.3247485
74.35416564925002,31.64583354275,15.95735
74.36249898255002,31.64583354275,151.41772
74.37083231585002,31.64583354275,391.07892
74.37916564915002,31.64583354275,1147.458
74.38749898245003,31.64583354275,111.26
74.39583231575003,31.64583354275,226.11751
74.40416564905003,31.64583354275,390.49518
74.41249898235003,31.64583354275,451.21115
74.42083231565003,31.64583354275,357.79587
74.42916564895002,31.64583354275,153.53503
74.43749898225002,31.64583354275,193.80707
74.44583231555002,31.64583354275,528.97614
74.45416564885002,31.64583354275,209.80585
74.46249898215002,31.64583354275,5373.9155
74.47083231545002,31.64583354275,1700.938
74.47916564875003,31.64583354275,1782.2767
74.48749898205003,31.64583354275,437.81253
74.49583231535003,31.64583354275,208.02458
74.50416564865003,31.64583354275,238.116
74.51249898195003,31.64583354275,146.779
74.52083231525002,31.64583354275,129.34076
74.52916564855002,31.64583354275,30.035707
74.53749898185002,31.64583354275,123.784935
74.54583231515002,31.64583354275,47.459312
74.15416565005002,31.637500209450003,2242.8467
74.16249898335002,31.637500209450003,1520.3815
74.17083231665002,31.637500209450003,1028.4137
74.17916564995002,31.637500209450003,4369.6685
74.18749898325002,31.637500209450003,10386.78
74.19583231655002,31.637500209450003,7657.979
74.20416564985003,31.637500209450003,8417.966
74.21249898315003,31.637500209450003,8576.305
74.22083231645003,31.637500209450003,4587.894
74.22916564975003,31.637500209450003,7653.0513
74.23749898305003,31.637500209450003,4222.1724
74.24583231635002,31.637500209450003,407.03705
74.25416564965002,31.637500209450003,691.7191
74.26249898295002,31.637500209450003,4268.852
74.27083231625002,31.637500209450003,17357.332
74.27916564955002,31.637500209450003,24177.02
74.28749898285002,31.637500209450003,17316.992
74.29583231615003,31.637500209450003,8374.145
