lon,lat,tmax_baseline
74.1875,31.64583333333334,30.456666310628254
74.22916666666667,31.64583333333334,30.450666904449463
74.27083333333333,31.64583333333334,30.376999378204346
74.3125,31.64583333333334,30.349666277567547
74.35416666666667,31.64583333333334,30.345666726430256
74.39583333333333,31.64583333333334,30.3066668510437
74.4375,31.64583333333334,30.18600066502889
74.47916666666667,31.64583333333334,30.032666047414143
74.52083333333333,31.64583333333334,29.92266591389974
74.1875,31.60416666666667,30.20799986521403
74.22916666666667,31.60416666666667,30.256333351135254
74.27083333333333,31.60416666666667,30.372665882110596
74.3125,31.60416666666667,30.44266684850057
74.35416666666667,31.60416666666667,30.54599968592326
74.39583333333333,31.60416666666667,30.53166627883911
74.4375,31.60416666666667,30.404333273569744
74.47916666666667,31.60416666666667,30.218667189280193
74.52083333333333,31.60416666666667,30.072333335876465
74.1875,31.562500000000004,30.091999848683674
74.22916666666667,31.562500000000004,30.277333577473957
74.27083333333333,31.562500000000004,30.484999656677246
74.3125,31.562500000000004,30.551999886830647
74.35416666666667,31.562500000000004,30.599333604176838
74.39583333333333,31.562500000000004,30.603333473205566
74.4375,31.562500000000004,30.517333189646404
74.47916666666667,31.562500000000004,30.25600020090739
74.52083333333333,31.562500000000004,30.062666098276775
74.1875,31.52083333333334,30.239666779836018
74.22916666666667,31.52083333333334,30.454999287923176
74.27083333333333,31.52083333333334,30.576000054677326
74.3125,31.52083333333334,30.58300018310547
74.35416666666667,31.52083333333334,30.5939998626709
74.39583333333333,31.52083333333334,30.654999891916912
74.4375,31.52083333333334,30.604666709899902
74.47916666666667,31.52083333333334,30.273999849955242
74.52083333333333,31.52083333333334,30.04633331298828
74.1875,31.47916666666667,30.411667029062908
74.22916666666667,31.47916666666667,30.55133310953776
74.27083333333333,31.47916666666667,30.606666564941406
74.3125,31.47916666666667,30.570667266845703
74.35416666666667,31.47916666666667,30.617333094278973
74.39583333333333,31.47916666666667,30.677666823069256
74.4375,31.47916666666667,30.684000333150227
74.47916666666667,31.47916666666667,30.445666631062824
74.52083333333333,31.47916666666667,30.164999961853027
74.1875,31.437500000000004,30.591000239054363
74.22916666666667,31.437500000000004,30.670000394185383
74.27083333333333,31.437500000000004,30.682666778564453
74.3125,31.437500000000004,30.6663335164388
74.35416666666667,31.437500000000004,30.695666631062824
74.39583333333333,31.437500000000004,30.725666522979736
74.4375,31.437500000000004,30.638333638509113
74.47916666666667,31.437500000000004,30.47499990463257
74.52083333333333,31.437500000000004,30.233666737874348
74.1875,31.39583333333334,30.62233320871989
74.22916666666667,31.39583333333334,30.655999660491943
74.27083333333333,31.39583333333334,30.63300021489461
74.3125,31.39583333333334,30.582333087921143
74.35416666666667,31.39583333333334,30.574000040690105
74.39583333333333,31.39583333333334,30.556666533152264
74.4375,31.39583333333334,30.43833335240682
74.47916666666667,31.39583333333334,30.34066645304362
74.52083333333333,31.39583333333334,30.22333335876465
74.1875,31.35416666666667,30.609332879384358
74.22916666666667,31.35416666666667,30.65000041325887
74.27083333333333,31.35416666666667,30.566667079925537
74.3125,31.35416666666667,30.44166660308838
74.35416666666667,31.35416666666667,30.41699965794881
74.39583333333333,31.35416666666667,30.388332843780518
74.4375,31.35416666666667,30.319666703542072
74.47916666666667,31.35416666666667,30.245999813079834
74.52083333333333,31.35416666666667,30.197667121887207
